Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-10-17 11",0.1376,0.3384,0.2003
"2023-10-17 12",0.1293,0.2392,0.1502
"2023-10-17 13",0.0807,0.2527,0.1417
"2023-10-17 14",0.1026,0.1811,0.1418
"2023-10-17 15",0.138,0.0918,0.1368
"2023-10-17 16",0.1298,0.1059,0.1313
"2023-10-17 17",0.1477,0.118,0.1231
"2023-10-17 18",0.4304,0.343,0.4702
"2023-10-17 19",0.5042,0.374,0.4636
"2023-10-17 20",0.9438,0.4805,0.6334
"2023-10-17 21",0.4581,0.4251,0.558
"2023-10-17 22",0.8541,0.5167,0.7997
"2023-10-17 23",0.5862,0.5623,0.7444
"2023-10-18 2",0.4628,0.3405,0.2272
"2023-10-18 3",0.3623,0.3242,0.24
"2023-10-18 4",0.5037,0.3899,0.0832
"2023-10-18 5",0.6186,0.4154,0.3894
"2023-10-18 6",0.7529,0.4101,0.3195
"2023-10-18 7",0.4696,0.3551,0.2546
"2023-10-18 8",0.3597,0.2264,0.3197
"2023-10-18 9",0.3264,0.2625,0.2351
"2023-10-18 10",0.2023,0.2431,0.1263
"2023-10-18 11",0.148,0.4365,0.1144
"2023-10-18 12",0.1479,0.1428,0.1041
"2023-10-18 13",0.1699,0.1965,0.1251
"2023-10-18 14",0.1479,0.1238,0.0906
"2023-10-18 15",0.177,0.0914,0.0796
"2023-10-18 16",0.162,0.0676,0.078
"2023-10-18 17",0.1361,0.1036,0.1505
"2023-10-18 18",0.1247,0.141,0.087
"2023-10-18 19",0.3719,0.283,0.3177
"2023-10-18 20",0.3766,0.2988,0.3224
"2023-10-18 21",0.2883,0.3047,0.3313
"2023-10-18 22",0.2518,0.2775,0.3379
"2023-10-18 23",0.2241,0.2244,0.1885
"2023-10-19 0",0.2996,0.2658,0.1478
"2023-10-19 1",0.2888,0.2811,0.0341
"2023-10-19 4",0.4286,0.3126,0.2226
"2023-10-19 5",0.4198,0.3118,0.382
"2023-10-19 6",0.499,0.2761,0.2294
"2023-10-19 7",0.4151,0.299,0.2129
"2023-10-19 8",0.3628,0.3302,0.2251
"2023-10-19 9",0.2081,0.2464,0.2154
"2023-10-19 10",0.167,0.2645,0.2159
"2023-10-19 11",0.1182,0.2317,0.1443
"2023-10-19 12",0.1163,0.1886,0.1443
"2023-10-19 13",0.1801,0.2873,0.1023
"2023-10-19 14",0.1128,0.1593,0.1223
"2023-10-19 15",0.1205,0.1783,0.1389
"2023-10-19 16",0.1169,0.1051,0.1098
"2023-10-19 17",0.1695,0.0781,0.119
"2023-10-19 18",0.2022,0.1729,0.1573
"2023-10-19 19",0.1865,0.2239,0.1939
"2023-10-19 20",0.5457,0.3505,0.5766
"2023-10-19 21",0.3032,0.4408,0.451
"2023-10-19 22",0.2908,0.4177,0.3811
"2023-10-19 23",0.3764,0.3939,0.3952
"2023-10-20 2",0.2089,0.3216,0.4316
"2023-10-20 3",0.0902,0.2602,0.2714
"2023-10-20 4",0.1268,0.2381,0.263
"2023-10-20 5",0.2998,0.2848,0.174
"2023-10-20 6",0.274,0.2771,0.2161
"2023-10-20 7",0.2434,0.2637,0.2578
"2023-10-20 8",0.2969,0.3083,0.1673
"2023-10-20 9",0.2914,0.3129,0.3223
"2023-10-20 10",0.2753,0.283,0.175
"2023-10-20 11",0.1733,0.2977,0.1648
"2023-10-20 12",0.1537,0.3865,0.2336
"2023-10-20 13",0.1833,0.4157,0.2234
"2023-10-20 14",0.201,0.4947,0.1988
"2023-10-20 15",0.1453,0.318,0.1657
"2023-10-20 16",0.2026,0.2949,0.1617
"2023-10-20 17",0.1488,0.155,0.1348
"2023-10-20 18",0.1764,0.2298,0.2234
"2023-10-20 19",0.4459,0.4324,0.4686
"2023-10-20 20",0.4164,0.4306,0.4822
"2023-10-20 21",0.5493,0.3794,0.3121
"2023-10-20 22",0.6302,0.4523,0.6056
"2023-10-20 23",0.4613,0.4827,0.0783
"2023-10-21 0",0.4847,0.5176,0.5567
"2023-10-21 1",0.2759,0.3356,0.3765
"2023-10-21 4",0.3847,0.3259,0.2323
"2023-10-21 5",0.2146,0.2911,0.3682
"2023-10-21 6",0.1683,0.2822,0.2116
"2023-10-21 7",0.2598,0.3242,0.2408
"2023-10-21 8",0.1429,0.2697,0.2055
"2023-10-21 9",0.1582,0.2477,0.2381
"2023-10-21 10",0.0781,0.3022,0.174
"2023-10-21 11",0.059,0.256,0.1574
"2023-10-21 12",0.0561,0.2358,0.0811
"2023-10-21 13",0.035,0.1172,0.1386
"2023-10-21 14",0.0287,0.1878,0.1653
"2023-10-21 15",0.0726,0.1809,0.1955
"2023-10-21 16",0.0812,0.1171,0.1995
"2023-10-21 17",0.1145,0.333,0.1801
"2023-10-21 18",0.0857,0.1143,0.1548
"2023-10-21 19",0.5313,0.3868,0.5075
"2023-10-21 20",0.3658,0.3175,0.416
"2023-10-21 23",0.3347,0.3298,0.3167
"2023-10-22 3",0.1308,0.244,0.3546
"2023-10-22 4",0.088,0.2126,0.2402
"2023-10-22 5",0.0815,0.1813,0.1712
"2023-10-22 6",0.1606,0.1972,0.2655
"2023-10-22 7",0.1149,0.1653,0.2272
"2023-10-22 8",0.1648,0.1913,0.1959
"2023-10-22 9",0.1951,0.1968,0.1468
"2023-10-22 10",0.222,0.1404,0.1716
"2023-10-22 11",0.1812,0.0855,0.08
"2023-10-22 12",0.2146,0.1074,0.1013
"2023-10-22 13",0.144,0.1118,0.0855
"2023-10-22 14",0.1282,0.0928,0.0903
"2023-10-22 15",0.3376,0.0653,0.0916
"2023-10-22 16",0.3446,0.0708,0.1251
"2023-10-22 17",0.3802,0.1353,0.1479
"2023-10-22 18",0.36,0.1535,0.2364
"2023-10-22 19",0.64,0.2896,0.2847
"2023-10-22 20",0.4982,0.278,0.1945
"2023-10-22 21",0.1923,0.1543,0.2715
"2023-10-22 22",0.0417,0.1016,0.1126
"2023-10-22 23",0.072,0.1373,0.1272
"2023-10-23 0",0.0615,0.0754,0.1333
"2023-10-23 1",0.0432,0.108,0.1269
"2023-10-23 4",0.112,0.1415,0.2078
"2023-10-23 5",0.2266,0.1703,0.1551
"2023-10-23 6",0.7086,0.3004,0.0568
"2023-10-23 7",0.5082,0.275,0.1284
"2023-10-23 8",0.2746,0.2197,0.305
"2023-10-23 9",0.1814,0.382,0.2653
"2023-10-23 10",0.0615,0.098,0.0993
"2023-10-23 11",0.0793,0.076,0.0786
"2023-10-23 12",0.0672,0.0962,0.0847
"2023-10-23 13",0.1195,0.057,0.0862
"2023-10-23 14",0.0812,0.0773,0.124
"2023-10-23 15",0.1355,0.0694,0.0786
"2023-10-23 16",0.1219,0.0471,0.0732
"2023-10-23 17",0.0976,0.0882,0
"2023-10-23 18",0.1432,0.1153,0.097
"2023-10-23 19",0.2476,0.173,0.2297
"2023-10-23 20",0.1767,0.1827,0.2238
"2023-10-23 21",0.2313,0.2614,0.3664
"2023-10-23 22",0.0435,0.1453,0.1015
"2023-10-23 23",0.2556,0.2592,0.2397
"2023-10-24 2",0.1761,0.2059,0.1281
"2023-10-24 3",0.192,0.2924,0.1793
"2023-10-24 4",0.3048,0.3201,0.2203
"2023-10-24 5",0.3808,0.3057,0.178
"2023-10-24 6",0.4433,0.2688,0.4249
"2023-10-24 7",0.4668,0.3438,0.2272
"2023-10-24 8",0.4887,0.6987,0.3786
"2023-10-24 9",0.3014,0.36,0.0415
"2023-10-24 10",0.2368,0.2885,0.2683
"2023-10-24 11",0.2231,0.2152,0.1903
"2023-10-24 12",0.2344,0.2888,0.1246
"2023-10-24 13",0.2284,0.2648,0.098
"2023-10-24 14",0.239,0.0616,0.0887
"2023-10-24 15",0.3587,0.0772,0.0795
"2023-10-24 16",0.2149,0.079,0.0877
"2023-10-24 17",0.1577,0.0652,0.0942
"2023-10-24 18",0.1166,0.0944,0.0752
"2023-10-24 19",0.3895,0.1668,0.2464
"2023-10-24 20",0.2419,0.2287,0.2804
"2023-10-24 21",0.1503,0.2154,0.1985
"2023-10-24 22",0.2283,0.2527,0.2369
"2023-10-24 23",0.1171,0.1699,0.1525
"2023-10-25 0",0.0881,0.0969,0.0783
"2023-10-25 1",0.1678,0.1527,0.0809
"2023-10-25 4",0.0155,0.0926,0.0737
