time_local,Mobile Lab O3,time_UTC
2024-07-28 09:00:00,34.05403613403629,2024-07-28 15:00:00
2024-07-28 10:00:00,36.96783333333335,2024-07-28 16:00:00
2024-07-28 11:00:00,,2024-07-28 17:00:00
2024-07-28 12:00:00,,2024-07-28 18:00:00
2024-07-28 13:00:00,,2024-07-28 19:00:00
2024-07-28 14:00:00,,2024-07-28 20:00:00
2024-07-28 15:00:00,72.34729421240128,2024-07-28 21:00:00
2024-07-28 16:00:00,73.77802385999092,2024-07-28 22:00:00
2024-07-28 17:00:00,73.49397222222223,2024-07-28 23:00:00
2024-07-28 18:00:00,70.93585186471843,2024-07-29 00:00:00
2024-07-28 19:00:00,69.3296111111111,2024-07-29 01:00:00
2024-07-28 20:00:00,66.2435,2024-07-29 02:00:00
2024-07-28 21:00:00,59.68952777777778,2024-07-29 03:00:00
2024-07-28 22:00:00,59.64211111111111,2024-07-29 04:00:00
2024-07-28 23:00:00,62.66805555555556,2024-07-29 05:00:00
2024-07-29 00:00:00,58.852694444444445,2024-07-29 06:00:00
2024-07-29 01:00:00,46.23633333333333,2024-07-29 07:00:00
2024-07-29 02:00:00,45.806805555555556,2024-07-29 08:00:00
2024-07-29 03:00:00,55.24919444444444,2024-07-29 09:00:00
2024-07-29 04:00:00,53.688361111111114,2024-07-29 10:00:00
2024-07-29 05:00:00,48.28525,2024-07-29 11:00:00
2024-07-29 06:00:00,43.349222222222224,2024-07-29 12:00:00
2024-07-29 07:00:00,46.252611111111115,2024-07-29 13:00:00
2024-07-29 08:00:00,43.903777777777776,2024-07-29 14:00:00
2024-07-29 09:00:00,38.50911111111111,2024-07-29 15:00:00
2024-07-29 10:00:00,45.71511111111111,2024-07-29 16:00:00
2024-07-29 11:00:00,52.14641666666667,2024-07-29 17:00:00
2024-07-29 12:00:00,55.010361111111116,2024-07-29 18:00:00
2024-07-29 13:00:00,58.69480555555556,2024-07-29 19:00:00
2024-07-29 14:00:00,60.35933333333333,2024-07-29 20:00:00
2024-07-29 15:00:00,60.754527777777774,2024-07-29 21:00:00
2024-07-29 16:00:00,63.690777777777775,2024-07-29 22:00:00
2024-07-29 17:00:00,64.77430555555556,2024-07-29 23:00:00
2024-07-29 18:00:00,62.63497950826067,2024-07-30 00:00:00
2024-07-29 19:00:00,65.89758333333333,2024-07-30 01:00:00
2024-07-29 20:00:00,62.08047222222222,2024-07-30 02:00:00
2024-07-29 21:00:00,54.51122222222222,2024-07-30 03:00:00
2024-07-29 22:00:00,53.6015,2024-07-30 04:00:00
2024-07-29 23:00:00,55.3715,2024-07-30 05:00:00
2024-07-30 00:00:00,47.230111111111114,2024-07-30 06:00:00
2024-07-30 01:00:00,38.02825,2024-07-30 07:00:00
2024-07-30 02:00:00,41.51811111111111,2024-07-30 08:00:00
2024-07-30 03:00:00,37.932916666666664,2024-07-30 09:00:00
2024-07-30 04:00:00,35.948027777777774,2024-07-30 10:00:00
