Index,Varname,Duplicate_name,Expected_tracers
116,x135_Trimethylbenzene,x135_TriMethylBenzene_WAS,x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; x123_Trimethylbenzene; x123_TriMethylBenzene_WAS; mpEthyltoluene; x3_x4_EthylToluene_WAS; oEthyltoluene; x2_EthylToluene_WAS; C9Aromatics_PTR; nPropylbenzene; nPropylBenzene_WAS; C8Aromatics_PTR; CO_Piccaro
117,nPropylbenzene,nPropylBenzene_WAS,x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; C9Aromatics_PTR; x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; mpEthyltoluene; x3_x4_EthylToluene_WAS; Toluene; Toluene_WAS; Toluene_PTR; CO_Piccaro
118,oEthyltoluene,x2_EthylToluene_WAS,mpEthyltoluene; x3_x4_EthylToluene_WAS; x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; C9Aromatics_PTR; CO_Piccaro
119,x224_Trimethylpentane,x224_TriMethylPentane_WAS,nOctane; nOctane_WAS; x234_Trimethylpentane; iPentane_WAS; Isopentane; nHeptane; nHeptane_WAS; CO_Piccaro
120,Toluene,Toluene_WAS; Toluene_PTR,Benzene; Benzene_WAS; Benzene_PTR; C8Aromatics_PTR; mpXylene; m_p_Xylene_WAS; oXylene; o_Xylene_WAS; CO_Piccaro; iPentane_WAS; Isopentane
121,x124_Trimethylbenzene,x124_TriMethylBenzene_WAS,x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; x123_Trimethylbenzene; x123_TriMethylBenzene_WAS; mpEthyltoluene; x3_x4_EthylToluene_WAS; C9Aromatics_PTR; CO_Piccaro
122,Isopropylbenzene,iPropylBenzene_WAS,x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; C9Aromatics_PTR; x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; nPropylbenzene; nPropylBenzene_WAS; CO_Piccaro
123,Formaldehyde,HCHO_CRDS,CO_Piccaro; NO_LIF; Isoprene_WAS; Isoprene; MVK_MACR_PTR; Acetaldehyde_PTR; PAN_CIMS; Ethylene; Ethene_WAS; Benzene; Benzene_WAS; Benzene_PTR
124,Benzene,Benzene_WAS; Benzene_PTR,Toluene; Toluene_WAS; Toluene_PTR; Acetylene; Ethyne_WAS; CO_Piccaro; NO_LIF; HONO_CIMS; nButane; nButane_WAS; iPentane_WAS; Isopentane; C8Aromatics_PTR
125,x123_Trimethylbenzene,x123_TriMethylBenzene_WAS,x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; C9Aromatics_PTR; CO_Piccaro
126,nHeptane,nHeptane_WAS,nHexane; nHexane_WAS; nOctane; nOctane_WAS; x2_Methylhexane; x3_Methylhexane; x23_Dimethylpentane; Methylcyclohexane; MethylCycloHexane_WAS; CO_Piccaro
127,nNonane,nNonane_WAS,nOctane; nOctane_WAS; nDecane; nDecane_WAS; nHeptane; nHeptane_WAS; nUndecane; Naphthalene_PTR; CO_Piccaro
128,Methylcyclopentane,MethylCycloPentane_WAS,nHexane; nHexane_WAS; x2_Methylpentane; x2_MethylPentane_WAS; x3_Methylpentane; x3_MethylPentane_WAS; Methylcyclohexane; MethylCycloHexane_WAS; Cyclohexane; CO_Piccaro
129,Propylene,Propene_WAS,Ethylene; Ethene_WAS; Acetylene; Ethyne_WAS; But1ene; x1_Butene_WAS; cis2Butene; c2Butene_WAS; trans2Butene; t2Butene_WAS; CO_Piccaro; NO_LIF
130,x3_Methylpentane,x3_MethylPentane_WAS,x2_Methylpentane; x2_MethylPentane_WAS; nHexane; nHexane_WAS; x22_Dimethylbutane; x22_DiMethylButane_WAS; Methylcyclopentane; MethylCycloPentane_WAS; CO_Piccaro
